review_id,product,review_text,,,
1,Laptop,"This laptop is absolutely amazing! ಇದರ performance ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ 🔥 Battery life bahut achhi hai, full din kaam karta hai! 💯",,,
2,Smartphone,"Camera quality bahut bekar hai 😤 ಫೋಟೋ quality ನೋಡಿದ್ರೆ ನಗು ಬರುತ್ತೆ. Total waste of money, don't buy this! ❌",,,
3,Earbuds,"Oh wow, the sound quality is SO amazing that I can't even hear my own thoughts 🙄 ಇದು earbuds ಅಲ್ಲ, earplugs! Bilkul bekar product hai 😂",,,
4,Speaker,BUY NOW BUY NOW BUY NOW!!! BEST PRICE CLICK HERE 👉 www.fakesite.com DISCOUNT 90% OFF LIMITED TIME!!! 🚨🚨🚨,,,
5,Laptop,Battery life is insane! 8 ghante ka kaam easily ho jata hai ✅ ಇದರ build quality ತುಂಬಾ solid ಆಗಿದೆ. Highly recommend to everyone 🙌,,,
6,Smartphone,"Oh sure, ₹50,000 ke phone mein ye camera hai 😒 ಇದು camera phone ಅಲ್ಲ, toy camera! Super 'premium' experience 🤡",,,
7,Earbuds,"Sound quality bahut badhiya hai 🎵 ಇದರ bass ತುಂಬಾ deep ಆಗಿದೆ, music listening experience amazing! Worth every rupee 💸",,,
8,Speaker,"Sound bahut tinny lagta hai 😞 ಇದರ volume ಕಡಿಮೆ ಇದೆ, neighbors ಕೂಡ ಕೇಳಿಸಲ್ಲ. Build quality bhi kharab hai ❌",,,
9,Laptop,"I MADE ₹50,000 FROM HOME USING THIS LAPTOP! Click link in bio! 💰💰 Earn money fast! WhatsApp +91XXXXXXXXXX 🤑",,,
10,Smartphone,"Battery life zabardast hai! ಒಂದು charge ನಲ್ಲಿ ಇಡೀ ದಿನ ಬಳಸಬಹುದು 🔋 Display quality bhi top notch, colors vibrant hain 🌈",,,
11,Earbuds,"Battery 2 ghante mein khatam ho jaati hai 😡 ಇದರ battery life ತುಂಬಾ ಕಡಿಮೆ. Paisa waste kiya, very disappointed 💔",,,
12,Speaker,"ಈ speaker ನ sound ಕೇಳಿದ್ರೆ goosebumps ಬರುತ್ತೆ! Bass bahut powerful hai 💪 Room bhar jaata hai music se, excellent product! 🎶",,,
13,Laptop,"Heating bahut zyada hoti hai 🌡️ ಇದು laptop ಅಲ್ಲ, room heater! Fan noise se concentration toot jaati hai, total disappointment 😤",,,
14,Smartphone,FREE IPHONE GIVE AWAY! Like and share to win! 🎁 ಈ offer miss ಮಾಡಬೇಡಿ! Register karo abhi www.scam.com 🏆,,,
15,Earbuds,"WOW such noise cancellation, I can TOTALLY still hear my boss yelling 😂 ಇದು noise cancellation ಅಲ್ಲ, noise welcome mat! Bahut 'professional' product hai 🎭",,,
16,Speaker,ಈ speaker ತುಂಬಾ compact ಆಗಿದೆ ಮತ್ತು sound quality amazing! Battery bahut zyada chalti hai 🔋 Party ke liye perfect choice hai 🥳,,,
17,Laptop,"Performance is top class! ಈ laptop ನಲ್ಲಿ multitasking ತುಂಬಾ smooth ಆಗಿದೆ 🚀 Bilkul hang nahi karta, value for money product 💰",,,
18,Smartphone,"Display quality bekar hai ☹️ ಸೂರ್ಯನ ಬೆಳಕಿನಲ್ಲಿ ಏನೂ ಕಾಣಿಸಲ್ಲ. Itni mehengi phone mein ye haal, customer service bhi kharab 😠",,,
19,Earbuds,"Fit bahut comfortable hai, ghanton tak pehno 👂 ಇದರ sound stage ತುಂಬಾ wide ಆಗಿದೆ. Calls pe bhi voice crystal clear aati hai 📞",,,
20,Speaker,"Oh it's WATERPROOF they said! 5 minutes of rain aur speaker gaya 😂 ಇದು waterproof ಅಲ್ಲ, water-afraid! Bahut 'durable' product hai 🌊",,,
21,Laptop,"ಈ laptop ನ keyboard ತುಂಬಾ comfortable ಆಗಿದೆ, typing experience amazing! Battery 10 ghante easily chalti hai ⌨️ Perfect for students 📚",,,
22,Smartphone,"₹80,000 ke phone ka processor itna slow hai ki mujhe meditation karne ka time mil jaata hai wait karte karte 🧘 ಇದು smartphone ಅಲ್ಲ, dumbphone! 😴",,,
23,Earbuds,10000% GENUINE REVIEW - BEST EARBUDS EVER! BUY HERE: t.me/fakedeals COUPON: FAKE50 🎧🎧🎧 SHARE WITH FRIENDS!!!,,,
24,Speaker,"Bluetooth connection baar baar toot jaata hai 😩 ಇದರ connectivity ತುಂಬಾ ಕಳಪೆ. Return kar diya, waste of money aur time ❌",,,
25,Laptop,"So the 'ultra fast SSD' takes only 5 minutes to open a file 😒 ಇದು fast ಅಲ್ಲ, slow-motion movie! Bahut 'modern' technology hai 🐌",,,
26,Smartphone,"Camera quality bahut badhiya hai! ಫೋಟೋಗಳು professional level ನಲ್ಲಿ ಬರುತ್ತೆ 📸 Night mode bhi excellent, battery life bhi great 🔋",,,
27,Earbuds,"One earbud 2 weeks mein kharab ho gaya 😡 ಎಡ side earbud ಕೆಲಸ ಮಾಡ್ತಿಲ್ಲ. Quality control zero hai, don't waste money 💸",,,
28,Speaker,"ಈ speaker ನ bass punch ತುಂಬಾ powerful! Ghar mein mini concert jaisa feel aata hai 🎵 Build quality solid hai, bahut impressed 😍",,,
29,Laptop,"RAM insufficient hai sab kuchh slow 🐢 ಇದರ performance ತುಂಬಾ ಕಳಪೆ ಆಗಿದೆ. Paisa deke itna dard mila, very bad experience 😭",,,
30,Smartphone,BEST PHONE IN WORLD!! Follow @fakereview for more amazing deals! Limited stock! ಈಗಲೇ order ಮಾಡಿ! 📱📱📱 DM for discount!!!,,,
31,Earbuds,"ANC feature bahut powerful hai! ಶಬ್ದ ಸಂಪೂರ್ಣ cancel ಆಗುತ್ತೆ, focus work ke liye perfect 🎯 Sound quality bhi audiophile level hai 🎧",,,
32,Speaker,"360 degree sound they said! Ek direction se hi sunai deta hai 😂 ಇದು 360 ಅಲ್ಲ, 45 degree sound! 'Immersive audio experience' my foot 🙃",,,
33,Laptop,ಈ laptop ನ display ತುಂਬಾ sharp ಮತ್ತು color accurate! Video editing ke liye bahut smooth experience hai ✂️ Highly recommended for creators 🎨,,,
34,Smartphone,"Heating problem bahut zyada hai 🔥 ಫೋನ್ ಹಿಡಿದ್ರೆ ಬೆರಳು ಸುಡುತ್ತೆ! This is not a phone, it's a hand warmer. Refund please 😤",,,
35,Earbuds,"They claim 30 hour battery life! Mine lasts exactly 3 hours 😏 ಇದು 30 hours ಅಲ್ಲ, 30 minutes! 'Long lasting' ka matlab kya hota hai inhe batao 🔋",,,
36,Speaker,"Outdoor use ke liye perfect! ಮಳೆಯಲ್ಲಿ ಕೂಡ ಚೆನ್ನಾಗಿ ಕೆಲಸ ಮಾಡುತ್ತೆ 🌧️ Battery 20 ghante chalti hai, very durable product 💪",,,
37,Laptop,This laptop cured my depression and got me promoted! Amazing product! ಅದ್ಭುತ! Buy from my link for 70% off!! 💊💻 www.totallylegit.in,,,
38,Smartphone,ಈ phone ನ display ತುಂಬಾ crisp ಮತ್ತು bright! Fingerprint sensor bahut fast kaam karta hai 👆 Overall premium feel at mid range price 💯,,,
39,Earbuds,"Call quality bahut kharab hai 😞 ಮಾತಾಡುವಾಗ ಆವಾಜ್ ತುಂಬಾ ಕಳಪೆ. Mic picks up every background noise, embarrassing on calls 😣",,,
40,Speaker,"ಈ speaker ನ clarity ಅದ್ಭುತ! Treble crisp, bass deep, mids perfect 🎵 Bluetooth range bhi bahut zyada hai, very satisfied customer 😊",,,
41,Laptop,Build quality plastic jaisi lagti hai 😒 ಇದರ body ತುಂಬಾ flimsy. Warranty claim karne gaya toh customer service ne ignore kiya 😡,,,
