ID,Product,Category,Review
1,Honda City,Car,"This car is amazing! ಇದರ mileage ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ 🚗💨 Bahut achha experience raha, highly recommend karta hoon!"
2,Royal Enfield Bullet,Bike,"Mileage bahut badhiya hai ⛽ ಈ bike ನ comfort ಅದ್ಭುತವಾಗಿದೆ, long rides ke liye perfect hai 🏍️❤️"
3,Volvo Bus,Bus,"ಈ bus ನ comfort ನೋಡಿ! Seats bahut aaram deh hain 😍 Top speed bhi kaafi smooth feels hota hai, worth every rupee!"
4,Maruti Swift,Car,"Swift ka mileage dekh ke dil khush ho gaya 🥰 ಇಂಧನ ದಕ್ಷತೆ superb, reliability pe koi sawaal nahi 🚗✅"
5,Hero Splendor,Bike,"ಈ bike ನ mileage 70kmpl! Bahut reliable hai daily commute ke liye 🏍️ Comfort bhi theek hai, paisa wasool!"
6,KSRTC Bus,Bus,"ಕೆಎಸ್ಆರ್ಟಿಸಿ bus ತುಂಬಾ ಚೆನ್ನಾಗಿ improve ಆಗಿದೆ 😊 Seats comfortable hain, reliability bahut acchi hai, 5 stars!"
7,Hyundai Creta,Car,"Top speed aur comfort dono mein best! 🏆 ಈ car ನ features ನೋಡಿ, Itni acchi car pehle kabhi nahi chalayi 🚘❤️"
8,Bajaj Pulsar,Bike,"Pulsar ki top speed 120kmph, ಇದು ಅದ್ಭುತ! Mileage bhi accha, bahut reliable bike hai 🏍️🔥 Love it!"
9,Mercedes Bus,Bus,"ಈ bus ನ comfort business class jaisa feel hota hai ✈️ Reliability 100%, top speed bhi smooth 😍 Worth it!"
10,Tata Nexon EV,Car,"Electric car ka mileage concept hi alag hai 🔋 ಇದರ reliability superb, ಕರ್ನಾಟಕದಲ್ಲಿ best choice! 🚗🌱"
11,Yamaha FZ,Bike,"FZ ka look aur comfort dono lajawaab! 😎 ಇದರ top speed ತುಂಬಾ impressive, Mileage bhi 45kmpl milta hai 🏍️💯"
12,Sleeper Bus,Bus,"ಈ sleeper bus ನ comfort ನೋಡಿ 😴 Raat bhar safar kiya aur neend bhi aayi! Reliability achi hai, recommend karta hoon!"
13,Maruti Alto,Car,"Mileage toh theek hai but ಈ car ನ comfort zero hai 😤 Top speed 80kmph pe hi vibrate karta hai, bahut bekar!"
14,Honda Activa,Bike,"ಈ bike ಇಷ್ಟು unreliable ಆಗಿದೆ! Ek mahine mein do baar repair 😡 Mileage bhi gir gaya, paisa barbaad!"
15,State Bus,Bus,"Bus ki reliability zero! ಪ್ರತಿ ದಿನ late ಬರುತ್ತದೆ 😠 Comfort toh bilkul nahi, seats toot gaye hain, pathetic service!"
16,Ford EcoSport,Car,"Top speed pe steering wobble karta hai 😤 ಇದರ reliability ಬಗ್ಗೆ ಮಾತಾಡಲೇ ಬೇಡ, Service center ka chakkar lagao!"
17,TVS Apache,Bike,"ಈ bike ನ mileage advertised se half milti hai! 😡 Comfort bhi bekar, Ek saal mein 3 baar engine problem 🔧 Never buy!"
18,Ordinary Bus,Bus,"ಈ bus ನ seats ನೋಡಿ, broken aur uncomfortable 😤 Mileage ki baat chodo, reliability hi nahi hai! Total waste!"
19,Chevrolet Beat,Car,"Car toh acchi dikhti hai but mileage bahut kharab 😞 ಇದರ comfort highway pe bilkul nahi, Reliability bhi doubtful 👎"
20,Bajaj CT100,Bike,ಈ bike ತುಂಬಾ noisy ಆಗಿದೆ! Mileage thoda accha hai but top speed 70 pe bhi shake karta hai 😤 Disappointed!
21,AC Bus,Bus,"AC band ho gaya pehle din! ಇದರ comfort ಹಾಳಾಗಿ ಹೋಯಿತು 😡 Reliability zero, top speed mein jolts aate hain! Refund do!"
22,Mahindra XUV,Car,"ಇಷ್ಟು expensive car ಇಷ್ಟು bekar? 😠 Mileage 8kmpl, comfort so-so, reliability toh Service center hi jaanta hai!"
23,Royal Enfield Meteor,Bike,"ಈ bike ನ vibrations ಬಹಳ ಹೆಚ್ಚು! 😡 Mileage bhi 30kmpl milti hai, ye kya hai? Bahut disappointed, top speed bhi average!"
24,Volvo Night Bus,Bus,"ಈ bus ನ AC ಕೆಲಸ ಮಾಡಲ್ಲ 😤 Comfort zero, raat bhar freeze ho gaye! Reliability bekaar, driver bhi rashly drive karta hai!"
25,Maruti Swift,Car,"Oh wow, ಈ car ನ mileage 25kmpl advertise ಮಾಡ್ತಾರೆ 😂 Main toh 40 expect kar raha tha! Bilkul ""reliable"" hai, sirf mechanic ke liye! 🙄"
